"ID","MS.SubClass","Lot.Frontage","Lot.Area","Alley","Lot.Shape","Land.Contour","House.Style","Overall.Qual","Overall.Cond","Year.Built","Mas.Vnr.Area","Exter.Cond","BsmtFin.SF.2","Bsmt.Unf.SF","Total.Bsmt.SF","Heating.QC","X1st.Flr.SF","X2nd.Flr.SF","Low.Qual.Fin.SF","Gr.Liv.Area","Bsmt.Full.Bath","Bsmt.Half.Bath","Full.Bath","Half.Bath","Bedroom.AbvGr","Kitchen.Qual","Functional","Garage.Type","Garage.Cars","Garage.Cond","Paved.Drive","Wood.Deck.SF","Open.Porch.SF","Enclosed.Porch","X3Ssn.Porch","Screen.Porch","Misc.Feature","Misc.Val","Mo.Sold","Sale.Condition","SalePrice","is.miss.Lot.Frontage","is.miss.Mas.Vnr.Area"
1,20,141,31770,"NA","IR1","Lvl","1Story",6,5,1960,112,"TA",0,441,1080,"Fa",1656,0,0,1656,1,0,1,0,3,"TA","Typ","Attchd",2,"TA","P",210,62,0,0,0,"NA",0,5,"Normal",21.5,0,0
2,20,80,11622,"NA","Reg","Lvl","1Story",5,6,1961,0,"TA",144,270,882,"TA",896,0,0,896,0,0,1,0,2,"TA","Typ","Attchd",1,"TA","Y",140,0,0,0,120,"NA",0,6,"Normal",10.5,0,0
3,20,81,14267,"NA","IR1","Lvl","1Story",6,6,1958,108,"TA",0,406,1329,"TA",1329,0,0,1329,0,0,1,1,3,"Gd","Typ","Attchd",1,"TA","Y",393,36,0,0,0,"Gar2",12500,6,"Normal",17.2,0,0
4,20,93,11160,"NA","Reg","Lvl","1Story",7,5,1968,0,"TA",0,1045,2110,"Ex",2110,0,0,2110,1,0,2,1,3,"Ex","Typ","Attchd",2,"TA","Y",0,0,0,0,0,"NA",0,4,"Normal",24.4,0,0
5,60,74,13830,"NA","IR1","Lvl","2Story",5,5,1997,0,"TA",0,137,928,"Gd",928,701,0,1629,0,0,2,1,3,"TA","Typ","Attchd",2,"TA","Y",212,34,0,0,0,"NA",0,3,"Normal",18.99,0,0
6,60,78,9978,"NA","IR1","Lvl","2Story",6,6,1998,20,"TA",0,324,926,"Ex",926,678,0,1604,0,0,2,1,3,"Gd","Typ","Attchd",2,"TA","Y",360,36,0,0,0,"NA",0,6,"Normal",19.55,0,0
7,120,41,4920,"NA","Reg","Lvl","1Story",8,5,2001,0,"TA",0,722,1338,"Ex",1338,0,0,1338,1,0,2,0,2,"Gd","Typ","Attchd",2,"TA","Y",0,0,170,0,0,"NA",0,4,"Normal",21.35,0,0
9,120,39,5389,"NA","IR1","Lvl","1Story",8,5,1995,0,"TA",0,415,1595,"Ex",1616,0,0,1616,1,0,2,0,2,"Gd","Typ","Attchd",2,"TA","Y",237,152,0,0,0,"NA",0,3,"Normal",23.65,0,0
10,60,60,7500,"NA","Reg","Lvl","2Story",7,5,1999,0,"TA",0,994,994,"Gd",1028,776,0,1804,0,0,2,1,3,"Gd","Typ","Attchd",2,"TA","Y",140,60,0,0,0,"NA",0,6,"Normal",18.9,0,0
11,60,75,10000,"NA","IR1","Lvl","2Story",6,5,1993,0,"TA",0,763,763,"Gd",763,892,0,1655,0,0,2,1,3,"TA","Typ","Attchd",2,"TA","Y",157,84,0,0,0,"NA",0,4,"Normal",17.59,0,0
